Frequency,Words
246030,the
123289,to
112187,of
102326,a
97210,and
83339,in
71325,is
70919,i
67218,that
50266,it
44836,for
43133,you
32912,this
32311,on
31561,be
31550,not
31365,have
31145,are
28659,with
26936,as
24394,or
23219,was
23057,if
22721,but
21673,they
18570,from
18414,by
17687,at
16248,an
16246,what
15965,all
15959,my
15811,would
15601,can
15125,there
15123,one
14796,writes
14672,will
14257,do
14158,about
13833,we
13178,he
13128,so
12850,no
12782,has
12613,article
12259,your
11487,who
11454,any
11320,me
11162,some
10496,out
10434,which
10184,people
10119,were
9960,like
9887,their
9773,just
9734,more
9622,when
8815,know
8806,up
8631,them
8592,other
8495,had
8420,only
8288,than
8150,how
8076,been
7997,his
7982,get
7957,think
7177,also
6867,does
6806,then
6737,time
6252,these
6075,use
5985,could
5896,good
5895,should
5874,well
5778,because
5730,even
5720,new
5681,now
5670,may
5380,am
5375,see
5350,very
5143,into
5121,why
5100,way
5069,two
5048,much
5013,many
4993,those
4957,make
4931,us
4901,say
4867,right
4842,first
4746,such
4743,god
4725,most
4638,did
4595,our
4393,said
4239,being
4212,here
4180,want
4157,where
4131,its
4095,over
4093,anyone
4090,system
4084,after
4022,same
4021,used
3871,go
3815,really
3732,believe
3713,too
3712,something
3622,him
3610,work
3588,since
3570,need
3528,still
3433,back
3368,off
3334,please
3281,going
3275,problem
3248,before
3246,government
3238,point
3217,take
3163,might
3162,never
3127,better
3082,find
3082,years
3050,last
3037,things
2995,both
2993,own
2957,year
2941,while
2920,mail
2900,made
2854,sure
2842,information
2838,without
2807,must
2805,question
2772,read
2747,through
2725,another
2717,etc
2715,fact
2703,using
2695,someone
2680,thing
2672,e
2659,got
2651,between
2639,thanks
2612,world
2610,university
2607,down
2596,number
2570,come
2517,few
2515,s
2514,drive
2501,day
2496,windows
2488,law
2486,anything
2474,bit
2472,part
2470,against
2470,long
2470,power
2469,help
2447,c
2444,look
2408,little
2392,data
2375,case
2374,again
2374,around
2372,under
2360,however
2351,every
2322,each
2316,state
2306,seems
2294,true
2290,different
2285,give
2265,file
2265,least
2232,probably
2228,actually
2206,space
2205,enough
2194,course
2183,best
2169,game
2161,available
2160,life
