Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0000697107005871
SUM:1.000021014310773
SUM:1.00001165879972
SUM:1.0000101718944585
SUM:1.0000099328128447
SUM:1.0000098896103915
SUM:1.0000098820243468
SUM:1.0000098806450732
SUM:1.000009880390782
SUM:1.0000098803436221
SUM:1.0000098803347133
SUM:1.0000098803330735
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0013495387492919806, Denver Intl, United States)
(0.0012023438591458257, Domododevo, Russia)
(0.0011397337560440858, Chicago Ohare Intl, United States)
(0.0010693660525956021, Dallas Fort Worth Intl, United States)
(0.001030911179810106, Sydney Intl, Australia)
(0.0010251262070210736, Hartsfield Jackson Atlanta Intl, United States)
(0.0010246350800449224, Eldorado Intl, Colombia)
(0.0009656941500409308, Aeroparque Jorge Newbery, Argentina)
(0.0009132214206308684, Los Angeles Intl, United States)
(0.0008995905835479393, Licenciado Benito Juarez Intl, Mexico)
(0.0008894383772440805, Tokyo Intl, Japan)
(0.0008817373482895462, Ninoy Aquino Intl, Philippines)
(0.0008004084865761996, Johannesburg Intl, South Africa)
(0.0007993859802625673, Capital Intl, China)
(0.0007878343024569875, Ataturk, Turkey)
(0.0007824013145696768, Minneapolis St Paul Intl, United States)
(0.0007304008000962058, Charlotte Douglas Intl, United States)
(0.0007011676307403183, Indira Gandhi Intl, India)
(0.000698057276674398, Vancouver Intl, Canada)
(0.0006823938610346655, George Bush Intercontinental, United States)
(0.0006820286845892971, Brisbane Intl, Australia)
(0.00067964932634503, Mehrabad Intl, Iran)
(0.0006579980094564225, Helsinki Vantaa, Finland)
(0.0006557809852681742, Pulkovo, Russia)
(0.0006466831754663172, Don Muang Intl, Thailand)
(0.0006401790994872566, Chhatrapati Shivaji Intl, India)
(0.0006292356934491451, Lester B Pearson Intl, Canada)
(0.0006248461072810935, Jorge Chavez Intl, Peru)
(0.0006182825786825966, Auckland Intl, New Zealand)
(0.000589981450750096, Wujiaba, China)
(0.0005872280083557384, Orly, France)
(0.0005855517271159625, Changi Intl, Singapore)
(0.000582984332050138, Pudong, China)
(0.000581699114385443, Arlanda, Sweden)
(0.0005814178445631867, Gardermoen, Norway)
(0.0005778451791907262, Schiphol, Netherlands)
(0.0005773583202452781, Detroit Metro Wayne Co, United States)
(0.0005754995325542191, Ted Stevens Anchorage Intl, United States)
(0.0005684835222086954, Bethel, United States)
(0.0005599383353332298, Barcelona, Spain)
(0.0005590102315613679, Dubai Intl, United Arab Emirates)
(0.0005578410693374503, Soekarno Hatta Intl, Indonesia)
(0.0005527697781193266, Faa\\'a International, French Polynesia)
(0.0005486592893922921, King Abdulaziz Intl, Saudi Arabia)
(0.0005423791137566877, Viracopos, Brazil)
(0.0005361066309714928, Salt Lake City Intl, United States)
(0.0005353619108473146, Shuangliu, China)
(0.0005343617333247649, Suvarnabhumi Intl, Thailand)
(0.000532634160497858, Eleftherios Venizelos Intl, Greece)
(0.0005259900640162604, King Khaled Intl, Saudi Arabia)
(0.0005245345161759553, Seattle Tacoma Intl, United States)
(0.0005203862382025999, Incheon Intl, South Korea)
(0.0005188139758362413, San Francisco Intl, United States)
(0.0005177476697492881, General Edward Lawrence Logan Intl, United States)
(0.0005166160259767597, Son Sant Joan, Spain)
(0.0005164043098189309, Charles De Gaulle, France)
(0.0005158008127655875, Honiara International, Solomon Islands)
(0.0005129794371969928, Houari Boumediene, Algeria)
(0.0005110894888657804, Frankfurt Main, Germany)
(0.0005103990621078606, Washington Dulles Intl, United States)
(0.0005066881766861057, Diwopu, China)
(0.000506398024139729, Baiyun Intl, China)
(0.0005031408853676939, Sabiha Gokcen, Turkey)
(0.0005006561228657895, Miami Intl, United States)
(0.0004992633623001706, John F Kennedy Intl, United States)
(0.000496363314433398, Gatwick, United Kingdom)
(0.0004949462719512405, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0004931773689232548, Simon Bolivar Intl, Venezuela)
