Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.085569884977399
SUM:1.017175710692634
SUM:1.0034477866426355
SUM:1.0006980838182349
SUM:1.0001476214718186
SUM:1.0000374486532453
SUM:1.0000153973249963
SUM:1.0000109843385236
SUM:1.0000101012429576
SUM:1.0000099245342147
SUM:1.0000098891764995
SUM:1.0000098821020953
SUM:1.000009880686685
SUM:1.000009880403505
SUM:1.0000098803468531
SUM:1.0000098803355164
SUM:1.0000098803332518
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0013495387493056797, Denver Intl, United States)
(0.0012023438591837042, Domododevo, Russia)
(0.001139733756077758, Chicago Ohare Intl, United States)
(0.0010693660526086479, Dallas Fort Worth Intl, United States)
(0.0010309111797392801, Sydney Intl, Australia)
(0.0010251262070428285, Hartsfield Jackson Atlanta Intl, United States)
(0.0010246350799876524, Eldorado Intl, Colombia)
(0.000965694149962004, Aeroparque Jorge Newbery, Argentina)
(0.000913221420625657, Los Angeles Intl, United States)
(0.0008995905835472251, Licenciado Benito Juarez Intl, Mexico)
(0.0008894383772542966, Tokyo Intl, Japan)
(0.0008817373482887412, Ninoy Aquino Intl, Philippines)
(0.0008004084865365822, Johannesburg Intl, South Africa)
(0.0007993859803638406, Capital Intl, China)
(0.0007878343024940208, Ataturk, Turkey)
(0.00078240131457504, Minneapolis St Paul Intl, United States)
(0.0007304008001135311, Charlotte Douglas Intl, United States)
(0.0007011676307453635, Indira Gandhi Intl, India)
(0.000698057276673411, Vancouver Intl, Canada)
(0.0006823938610414623, George Bush Intercontinental, United States)
(0.0006820286845232518, Brisbane Intl, Australia)
(0.0006796493263150307, Mehrabad Intl, Iran)
(0.0006579980094855786, Helsinki Vantaa, Finland)
(0.0006557809852997141, Pulkovo, Russia)
(0.0006466831754625129, Don Muang Intl, Thailand)
(0.0006401790994902195, Chhatrapati Shivaji Intl, India)
(0.000629235693458399, Lester B Pearson Intl, Canada)
(0.0006248461072439174, Jorge Chavez Intl, Peru)
(0.000618282578633358, Auckland Intl, New Zealand)
(0.0005899814508184103, Wujiaba, China)
(0.0005872280083889479, Orly, France)
(0.0005855517270924201, Changi Intl, Singapore)
(0.0005829843321165092, Pudong, China)
(0.0005816991144165047, Arlanda, Sweden)
(0.0005814178445859989, Gardermoen, Norway)
(0.0005778451792482142, Schiphol, Netherlands)
(0.0005773583202612924, Detroit Metro Wayne Co, United States)
(0.0005754995324854253, Ted Stevens Anchorage Intl, United States)
(0.0005684835221537618, Bethel, United States)
(0.0005599383354125139, Barcelona, Spain)
(0.0005590102315614469, Dubai Intl, United Arab Emirates)
(0.0005578410693056114, Soekarno Hatta Intl, Indonesia)
(0.0005527697780555744, Faa\\'a International, French Polynesia)
(0.0005486592893950884, King Abdulaziz Intl, Saudi Arabia)
(0.0005423791137334161, Viracopos, Brazil)
(0.0005361066309767603, Salt Lake City Intl, United States)
(0.0005353619109218495, Shuangliu, China)
(0.0005343617333299817, Suvarnabhumi Intl, Thailand)
(0.0005326341605293185, Eleftherios Venizelos Intl, Greece)
(0.0005259900640192083, King Khaled Intl, Saudi Arabia)
(0.0005245345161573479, Seattle Tacoma Intl, United States)
(0.0005203862382316586, Incheon Intl, South Korea)
(0.0005188139758466677, San Francisco Intl, United States)
(0.0005177476697640745, General Edward Lawrence Logan Intl, United States)
(0.0005166160260493173, Son Sant Joan, Spain)
(0.0005164043098672853, Charles De Gaulle, France)
(0.0005158008127124029, Honiara International, Solomon Islands)
(0.0005129794372004733, Houari Boumediene, Algeria)
(0.0005110894889194359, Frankfurt Main, Germany)
(0.0005103990621190334, Washington Dulles Intl, United States)
(0.0005066881767269317, Diwopu, China)
(0.0005063980242019634, Baiyun Intl, China)
(0.0005031408853938127, Sabiha Gokcen, Turkey)
(0.0005006561228470714, Miami Intl, United States)
(0.0004992633623240796, John F Kennedy Intl, United States)
(0.0004963633145025778, Gatwick, United Kingdom)
(0.000494946271959749, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0004931773689083783, Simon Bolivar Intl, Venezuela)
(0.0004904080765405927, Mc Carran Intl, United States)
(0.000490204711814581, Fairbanks Intl, United States)
(0.00048463507621606934, Philadelphia Intl, United States)
(0.0004845683837020275, Perth Intl, Australia)
(0.0004836604118836662, Kuala Lumpur Intl, Malaysia)
(0.0004831689847305577, Melbourne Intl, Australia)
(0.0004815109684783688, Bole Intl, Ethiopia)
(0.00047751045236754924, Schwechat, Austria)
(0.0004742354211203898, Tribhuvan Intl, Nepal)
(0.00047186861913041736, Pierre Elliott Trudeau Intl, Canada)
(0.00046491621941536956, Sheremetyevo, Russia)
(0.00046424141892205503, Fiumicino, Italy)
(0.00046174795323944515, Fort Lauderdale Hollywood Intl, United States)
(0.0004578313830570674, Jomo Kenyatta International, Kenya)
(0.0004560173217730136, Vnukovo, Russia)
(0.00045548847214572257, Lambert St Louis Intl, United States)
(0.0004532045905175718, Phoenix Sky Harbor Intl, United States)
(0.00045317695971689744, Heathrow, United Kingdom)
(0.0004480761948340114, Barajas, Spain)
(0.00044742185781347047, Kastrup, Denmark)
(0.0004459466889937296, Xianyang, China)
(0.0004456649880285946, Juneau Intl, United States)
(0.00044423733766646455, Calgary Intl, Canada)
(0.0004398635663318372, Lynden Pindling Intl, Bahamas)
(0.00043866694719508635, Adelaide Intl, Australia)
(0.0004335058957021042, Presidente Juscelino Kubitschek, Brazil)
(0.00043241454072178505, Orlando Sanford Intl, United States)
(0.0004318155434437183, Jose Marti Intl, Cuba)
(0.00042811900426100444, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.00042756792529965234, Franz Josef Strauss, Germany)
(0.0004232244283222478, Luanda 4 De Fevereiro, Angola)
(0.00042236712012146474, Mashhad, Iran)
(0.00042157195809034266, Tansonnhat Intl, Vietnam)
(0.0004205559748712271, Nnamdi Azikiwe Intl, Nigeria)
(0.0004158253186263718, Manchester, United Kingdom)
(0.0004141450221610642, Hasanuddin, Indonesia)
(0.0004118074846511657, Cairo Intl, Egypt)
(0.0004085831704986767, Cairns Intl, Australia)
(0.0004084820072876663, Eduardo Gomes Intl, Brazil)
(0.00040817001010959016, Brussels Natl, Belgium)
(0.00040643117115050627, Orlando Intl, United States)
(0.0004060168222073966, Netaji Subhash Chandra Bose Intl, India)
(0.00039988858353762983, Honolulu Intl, United States)
(0.0003997838134191544, Marcos A Gelabert Intl, Panama)
(0.0003982365340097812, Jinnah Intl, Pakistan)
(0.0003979780161825078, Stansted, United Kingdom)
(0.00039582807343762044, Port Vila Bauerfield, Vanuatu)
(0.00039388652521433077, Hong Kong Intl, Hong Kong)
(0.00038967465924290604, Mariscal Sucre Intl, Ecuador)
(0.0003866944697874282, Wellington Intl, New Zealand)
(0.0003865154793298102, Glasgow, United Kingdom)
(0.0003856684589571233, Yellowknife, Canada)
(0.00038424306621987825, Mactan Cebu Intl, Philippines)
(0.000382870975364906, Dusseldorf, Germany)
(0.0003808772812438604, Arturo Merino Benitez Intl, Chile)
(0.00037047871461622214, Newark Liberty Intl, United States)
(0.00036964389065040153, Jiangbei, China)
(0.0003676700492104008, Sioux Lookout, Canada)
(0.0003651951686084505, New Chitose, Japan)
(0.00036472087672691244, Juan Santamaria Intl, Costa Rica)
(0.000364669420547831, Magenta, New Caledonia)
(0.00036377822998021146, Noibai Intl, Vietnam)
(0.0003636343919031081, Zurich, Switzerland)
(0.0003610872656575152, Baoan Intl, China)
(0.00036023147256561275, Deputado Luis Eduardo Magalhaes, Brazil)
(0.0003571111447886985, Nadi Intl, Fiji)
(0.00035609946251422616, Hongqiao Intl, China)
(0.000355878215937078, Taoyuan Intl, Taiwan)
(0.00035461700900370934, Henri Coanda, Romania)
(0.00035315212031116687, Lisboa, Portugal)
(0.000351478620431185, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.00035115187385318075, Murtala Muhammed, Nigeria)
(0.00035114285723081555, Ralph Wien Mem, United States)
(0.0003493473203453712, Bangalore, India)
(0.0003488509046271637, Portland Intl, United States)
(0.00034793972811145634, Almaty, Kazakhstan)
(0.0003464278868690828, Mohammed V Intl, Morocco)
(0.000344900929304463, Narita Intl, Japan)
(0.000344737663635512, Ketchikan Intl, United States)
(0.00034460216921683375, Chinggis Khaan Intl, Mongolia)
(0.00034247043556642645, Nausori Intl, Fiji)
(0.000342319663121572, Luis Munoz Marin Intl, Puerto Rico)
(0.00034148099503431126, Cote D\\'Azur, France)
(0.0003405615351733519, Bergamo Orio Al Serio, Italy)
(0.00033953174128940764, Abu Dhabi Intl, United Arab Emirates)
(0.0003394705682185522, Kotoka Intl, Ghana)
(0.0003387374423754457, Tripoli Intl, Libya)
(0.0003382000054615718, Jeju Intl, South Korea)
(0.00033679119096501086, Dublin, Ireland)
(0.0003354849759617212, Nome, United States)
(0.00033490855235750416, Chicago Midway Intl, United States)
(0.0003339179333047437, King Salmon, United States)
(0.0003334944903805205, Edmonton Intl, Canada)
(0.0003324581511932207, Esenboga, Turkey)
(0.00033082024120187315, Ronald Reagan Washington Natl, United States)
(0.0003303392094631914, Cancun Intl, Mexico)
(0.0003299707765931179, Bali Ngurah Rai, Indonesia)
(0.00032812148692450154, Alicante, Spain)
(0.0003281058797023449, Saint Exupery, France)
(0.0003259218948704971, Ivato, Madagascar)
(0.00032514004742182674, Mandalay Intl, Burma)
(0.0003251387428686009, Sochi, Russia)
(0.00032511182744031006, Miri, Malaysia)
(0.0003243586518432703, Cleveland Hopkins Intl, United States)
(0.00032373990442403954, Provence, France)
(0.0003216717965652503, Cape Town Intl, South Africa)
(0.000320532861989954, Gran Canaria, Spain)
(0.0003183760317670303, Tanna island, Vanuatu)
(0.00031832967200342275, Birmingham, United Kingdom)
(0.0003180011480946861, Girona, Spain)
(0.00031672593520410346, Osaka Intl, Japan)
(0.00031592544990959915, Nairobi Wilson, Kenya)
(0.00031350966292700453, Koltsovo, Russia)
(0.0003126093386529366, City, United Kingdom)
(0.0003120698940774821, Rarotonga Intl, Cook Islands)
(0.00031157677955493887, Malpensa, Italy)
(0.00031124049764779315, Iqaluit, Canada)
(0.00031117847077929007, Yuzhny, Uzbekistan)
(0.000311016004326678, Afonso Pena, Brazil)
(0.00031101257043173407, Christchurch Intl, New Zealand)
(0.0003096630467700032, Marechal Rondon, Brazil)
(0.0003087282103496503, Xiaoshan, China)
(0.00030801440001248213, Phoenix-Mesa Gateway, United States)
(0.0003062837675658338, Darwin Intl, Australia)
(0.00030609397898907515, Gaoqi, China)
(0.00030543382237723947, Astana Intl, Kazakhstan)
(0.00030535511290074793, Tancredo Neves Intl, Brazil)
(0.00030432389923645104, Khartoum, Sudan)
(0.0003028277106477261, Yakutsk, Russia)
(0.0003025550267559798, La Guardia, United States)
(0.00030221384443055626, Beijing Nanyuan Airport, China)
(0.0003017075111667837, Hyderabad, India)
(0.0003016370628386014, Zia Intl, Bangladesh)
(0.0003014299207670523, Yangon Intl, Burma)
(0.0003012631209678158, Liuting, China)
(0.00030079308963147536, Edinburgh, United Kingdom)
(0.00030021870959696256, Flesland, Norway)
(0.000297272636361379, Tianhe, China)
(0.0002960922747021476, Malaga, Spain)
(0.0002946545517560603, Taiping, China)
(0.00029384849999541127, Congonhas, Brazil)
(0.00029100535433506703, Boryspil Intl, Ukraine)
(0.00029064031437901864, El Alto Intl, Bolivia)
(0.00029013577153082736, Reykjavik, Iceland)
(0.0002899677954468782, Tocumen Intl, Panama)
(0.0002886146799312555, Kota Kinabalu Intl, Malaysia)
(0.00028826500208017116, Doha Intl, Qatar)
(0.0002880689070279352, Tampa Intl, United States)
(0.0002873660143135837, Lusaka Intl, Zambia)
(0.0002867575195652719, Val De Cans Intl, Brazil)
(0.0002864715006944973, Tegel, Germany)
(0.0002858321846839867, Bodo, Norway)
(0.00028576461875843, Salgado Filho, Brazil)
(0.00028487921518751183, General Abelardo L Rodriguez Intl, Mexico)
(0.00028400106482106424, Galeao Antonio Carlos Jobim, Brazil)
(0.0002820352393182581, Tolmachevo, Russia)
(0.00028183892870388427, Sanaa Intl, Yemen)
(0.0002815536795403947, Jose Joaquin De Olmedo Intl, Ecuador)
(0.0002810872271235518, Baltimore Washington Intl, United States)
(0.00028074066392833123, Tobias Bolanos International Airport, Costa Rica)
(0.0002806683005250624, Huanghua, China)
(0.00028022991899134017, Chaklala, Pakistan)
(0.0002793514402668139, Seeb Intl, Oman)
(0.00027910649511623625, Kahului, United States)
(0.0002779730662913874, Polonia, Indonesia)
(0.00027790162640490564, Wattay Intl, Laos)
(0.00027775012838195573, Goose Bay, Canada)
(0.0002775457607464537, Winnipeg Intl, Canada)
(0.00027705284846590904, Pampulha Carlos Drummond De Andrade, Brazil)
(0.00027688586403333093, Santo Pekoa International Airport, Vanuatu)
(0.00027684530242404475, Inuvik Mike Zubko, Canada)
(0.0002753362118137149, Fukuoka, Japan)
(0.00027528605960910093, Alfonso Bonilla Aragon Intl, Colombia)
(0.0002752663730503533, Aniak Airport, United States)
(0.0002744815558739346, Zhoushuizi, China)
(0.0002742412137135608, Wabush, Canada)
(0.0002741033353742095, Talagi, Russia)
(0.000273331430757604, Princess Juliana Intl, Netherlands Antilles)
(0.0002727568741938403, Langnes, Norway)
(0.0002725874082660281, Don Miguel Hidalgo Y Costilla Intl, Mexico)
(0.00027214692566429133, Sentani, Indonesia)
(0.00027183548947309926, Kirkwall, United Kingdom)
(0.0002714183973224404, Rhodes Diagoras, Greece)
(0.0002711438867610484, Naha, Japan)
(0.0002708432914592066, Chennai Intl, India)
(0.00027057507695173714, Ibiza, Spain)
(0.000269874191405178, Kodiak, United States)
(0.0002697993478826228, Zhuliany Intl, Ukraine)
(0.0002697866207270198, Riga Intl, Latvia)
(0.0002691940990411481, Kansai, Japan)
(0.00026836991736259736, Juanda, Indonesia)
(0.0002680647622252757, Luton, United Kingdom)
(0.0002676279172829318, Shiraz Shahid Dastghaib Intl, Iran)
(0.00026738723021812766, Brussels South, Belgium)
(0.0002671719698512707, Shenyang Taoxian International Airport, China)
(0.00026647509848841264, Koln Bonn, Germany)
(0.0002658146532882085, Queen Alia Intl, Jordan)
(0.00026549915158253064, Rankin Inlet, Canada)
(0.00026428858097241124, Antalya, Turkey)
(0.0002638300534765583, Stuttgart, Germany)
(0.00026339643554963786, Chiang Mai Intl, Thailand)
(0.0002633208483488517, Venezia Tessera, Italy)
(0.00026315165071712785, Gimpo, South Korea)
(0.0002630543320324706, Billings Logan International Airport, United States)
(0.00026301968273521463, Lukou, China)
(0.00026289496886581864, Nikos Kazantzakis, Greece)
(0.0002619173699189187, Olaya Herrera, Colombia)
(0.0002617733915664055, Thunder Bay, Canada)
(0.00026174862936412284, King Fahd Intl, Saudi Arabia)
(0.0002615832603021232, Emelyanovo, Russia)
(0.00026119762879761013, Khrabrovo, Russia)
(0.0002607806516476683, General Mariano Escobedo Intl, Mexico)
(0.0002606041180535737, Leopold Sedar Senghor Intl, Senegal)
(0.00025956610322524945, Sepinggan, Indonesia)
(0.0002590703255884706, Longdongbao, China)
(0.0002589232356949994, Baita Airport, China)
(0.0002586591021195949, Kuujjuaq, Canada)
(0.00025862919041240906, Khomutovo, Russia)
(0.000256922413298823, Bromma, Sweden)
(0.00025645912856790313, Sept Iles, Canada)
(0.00025594952999600726, Ministro Pistarini, Argentina)
(0.0002556631081830617, Halifax Intl, Canada)
(0.00025565370566037237, Ruzyne, Czech Republic)
(0.00025461400351972397, Kuwait Intl, Kuwait)
(0.00025445281397590204, Porto, Portugal)
(0.00025428439009844245, Santos Dumont, Brazil)
(0.00025426177441815605, Carthage, Tunisia)
(0.0002541134616599995, Unalaska, United States)
(0.00025368573862732474, Lokpriya Gopinath Bordoloi International Airport, India)
(0.0002533581384503451, Kuching Intl, Malaysia)
(0.00025314970417243584, Marudi, Malaysia)
(0.0002525223316466177, Memphis Intl, United States)
(0.0002501886252091192, San Diego Intl, United States)
(0.0002498200113351982, St Petersburg Clearwater Intl, United States)
(0.00024981066477522504, Munda Airport, Solomon Islands)
(0.0002496263575960274, Tenerife Sur, Spain)
(0.00024862323382733364, Vaernes, Norway)
(0.0002486226805615849, William P Hobby, United States)
(0.0002485315461463611, Geneve Cointrin, Switzerland)
(0.00024710868590691417, Okecie, Poland)
(0.00024696124566854217, Grantley Adams Intl, Barbados)
(0.0002466059027913654, Sir Seewoosagur Ramgoolam Intl, Mauritius)
(0.00024660415884762953, Nashville Intl, United States)
(0.00024646240553115626, Quebec Jean Lesage Intl, Canada)
(0.0002460559990351133, Mwalimu Julius K Nyerere Intl, Tanzania)
(0.0002457116483897584, Xinzheng, China)
(0.00024514571179900434, Ottawa Macdonald Cartier Intl, Canada)
(0.0002450099866941288, Guararapes Gilberto Freyre Intl, Brazil)
(0.00024498506680022114, Maputo, Mozambique)
(0.00024459522556823955, Ben Gurion, Israel)
(0.00024441610629088464, Townsville, Australia)
(0.00024325641569748519, Kansas City Intl, United States)
(0.00024240506736237252, Jersey, Jersey)
(0.00024223539245187844, Tte Av Jorge Henrich Arauz, Bolivia)
(0.00024218054679283404, Tallinn, Estonia)
(0.00024207031956555226, V C Bird Intl, Antigua and Barbuda)
(0.00024078599341775648, Male Intl, Maldives)
(0.00024005472546235505, Hamburg, Germany)
(0.0002398620744317122, Nuuk, Greenland)
(0.0002395373451704169, Providenciales, Turks and Caicos Islands)
(0.0002394670891101013, Temindung, Indonesia)
(0.00023942184793013184, Bristol, United Kingdom)
(0.0002387669082863372, Dallas Love Fld, United States)
(0.00023868084662735162, Hang Nadim, Indonesia)
(0.00023811172171950873, Alfredo Vasquez Cobo, Colombia)
(0.0002379847339981622, Lajes, Portugal)
(0.00023754018436042732, Irkutsk, Russia)
(0.00023723867508279063, Santarem, Brazil)
(0.00023722555084227273, Albuquerque International Sunport, United States)
(0.00023701476453150705, Binhai, China)
(0.00023673776240240018, Douala, Cameroon)
(0.0002366766969748257, Myrtle Beach Intl, United States)
(0.00023661778778532295, Bateen, United Arab Emirates)
(0.00023603377286915945, Chubu Centrair Intl, Japan)
(0.00023566776794646616, Vityazevo, Russia)
(0.0002352451698961189, Nottingham East Midlands, United Kingdom)
(0.000234877280073712, Ilulissat, Greenland)
(0.0002348481846402898, Toamasina, Madagascar)
(0.00023478778765410267, Makedonia, Greece)
(0.00023471239314870767, Pattimura, Indonesia)
(0.00023443263610981288, Yaounde Nsimalen, Cameroon)
(0.00023322191759855642, Ponta Delgada, Portugal)
(0.0002328052967019276, Metropolitan Oakland Intl, United States)
(0.00023271134010270558, Nagasaki, Japan)
(0.00023268012408654201, Longreach Airport, Australia)
(0.0002323613028411094, Blagnac, France)
(0.00023234643190538537, Hammerfest Airport, Norway)
(0.00023140747628010993, Red Lake Airport, Canada)
(0.00023106826141231914, Waskaganish Airport, Canada)
(0.0002309954747864494, Mekane Salam Airport, Ethiopia)
(0.0002308840193115576, Wiley Post Will Rogers Mem, United States)
(0.00022998189049886148, Southampton, United Kingdom)
(0.00022993887523188917, Goloson Intl, Honduras)
(0.00022967975128052612, Zamboanga Intl, Philippines)
(0.00022962871530367307, Mount Isa, Australia)
(0.00022958980278130453, Ondjiva Pereira Airport, Angola)
(0.00022937854431641686, Adnan Menderes, Turkey)
(0.00022928983129545937, Faro, Portugal)
(0.00022914921414720583, Fort Yukon, United States)
(0.00022816560370885475, Jefman, Indonesia)
(0.00022794625493232092, Tenerife Norte, Spain)
(0.0002278699488475641, Tokua Airport, Papua New Guinea)
(0.0002276502981010666, Hato, Netherlands Antilles)
(0.0002274446626802649, Sondre Stromfjord, Greenland)
(0.0002272576349744023, Dyce, United Kingdom)
(0.00022714170319650944, Rangiroa, French Polynesia)
(0.00022696280995874963, Lanzarote, Spain)
(0.0002268242251479898, Lanzhou Airport, China)
(0.00022669390448645612, Edward G Pitka Sr, United States)
(0.00022607912583894456, Sam Ratulangi, Indonesia)
(0.0002260721939706242, Philip S W Goldson Intl, Belize)
(0.0002253840320127365, Frankfurt Hahn, Germany)
(0.00022520780417864327, McGrath Airport, United States)
(0.0002249988105644282, Bandaranaike Intl Colombo, Sri Lanka)
(0.0002249529004860948, Eros Airport, Namibia)
(0.00022495137968767936, Niederrhein, Germany)
(0.0002248382458156134, Albany Intl, United States)
(0.0002245692768363952, Es Senia, Algeria)
(0.0002240626449328468, Caye Caulker Airport, Belize)
(0.00022404279174593607, Governador Jorge Teixeira De Oliveira, Brazil)
(0.00022371362134075045, Penang Intl, Malaysia)
(0.0002236769271681134, Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire)
(0.0002235180136917086, Pisa, Italy)
(0.00022318291800592021, Liverpool, United Kingdom)
(0.0002226739985890952, Esfahan Shahid Beheshti Intl, Iran)
(0.00022234547456576308, Allama Iqbal Intl, Pakistan)
(0.00022225376031502025, Guam Intl, Guam)
(0.00022220325349687613, Gurney Airport, Papua New Guinea)
(0.00022208252966313813, Kigali Intl, Rwanda)
(0.00022206959973852043, Split, Croatia)
(0.00022201162366557875, Boeing Fld King Co Intl, United States)
(0.00022111402892591796, Toncontin Intl, Honduras)
(0.0002206631613824744, Narsarsuaq, Greenland)
(0.0002206145446850367, Maningrida Airport, Australia)
(0.0002204135868889158, Beograd, Serbia)
(0.00022026678984987783, Santa Cruz, Bolivia)
(0.00022026151063876025, Mount Hagen, Papua New Guinea)
(0.000219921672761113, Cochin, India)
(0.00021983799642599382, Novy, Russia)
(0.00021974158729590009, Entebbe Intl, Uganda)
(0.00021945697601545816, Newcastle, United Kingdom)
(0.00021944924901190217, Heydar Aliyev, Azerbaijan)
(0.00021941238256603668, Syktyvkar, Russia)
(0.00021928728787711662, Santa Maria Airport, Brazil)
(0.00021915906255274924, Viru Viru Intl, Bolivia)
(0.0002188422467992857, Jinan, China)
(0.0002185825869529426, Xining Caojiabu Airport, China)
(0.0002184746221048679, Pierre Regional Airport, United States)
(0.00021816193736805788, Ioannis Kapodistrias Intl, Greece)
(0.0002173293138631701, Changle, China)
(0.00021718846017414087, Visby, Sweden)
(0.00021689673226805167, Durban Intl, South Africa)
(0.00021681731313135674, Sungshan, Taiwan)
(0.00021673782932665552, Elmas, Italy)
(0.00021625202056697385, White Mountain Airport, United States)
(0.00021624940871603517, Del Caribe Intl Gen Santiago Marino, Venezuela)
(0.0002158723193710483, Tille, France)
(0.00021561360189225985, Wuxu, China)
(0.00021540610299409916, Benina, Libya)
(0.00021428488593318277, Reina Beatrix Intl, Aruba)
(0.00021415775468514587, Cadjehoun, Benin)
(0.00021396837325044562, Gimhae Intl, South Korea)
(0.00021393302491698923, El Tari, Indonesia)
(0.00021348466681937235, Kuujjuarapik Airport, Canada)
(0.00021252468643345943, Ferihegy, Hungary)
(0.0002124513107102408, Campo Dell Oro, France)
(0.0002124079365330723, Piarco, Trinidad and Tobago)
(0.00021194187131072124, Kos, Greece)
(0.0002117220690703059, Resolute Bay, Canada)
(0.00021163488936492994, General Ignacio P Garcia Intl, Mexico)
