Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.171139769954822
SUM:1.0685634213691575
SUM:1.0273588144968422
SUM:1.010852592050819
SUM:1.0042443877445162
SUM:1.001599364439582
SUM:1.000540573182002
SUM:1.0001168071243816
SUM:0.9999472076798018
SUM:0.9998793342225153
SUM:0.9998521728436955
SUM:0.9998413038783637
SUM:0.9998369546903314
SUM:0.9998352144322901
SUM:0.9998345181155617
SUM:0.9998342395111527
SUM:0.9998341280410379
SUM:0.9998340834426291
SUM:0.9998340655994873
SUM:0.9998340584608675
SUM:0.9998340556049191
SUM:0.9998340544623618
SUM:0.999834054005275
SUM:0.9998340538224151
SUM:0.999834053749266
SUM:0.9998340537200052
SUM:0.9998340537082971
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.002526398229307523, Denver Intl, United States)
(0.0021767695183742366, Chicago Ohare Intl, United States)
(0.0021180681008594396, Domododevo, Russia)
(0.0019195635878052454, Sydney Intl, Australia)
(0.0019088472075409386, Dallas Fort Worth Intl, United States)
(0.0018810818296015224, Hartsfield Jackson Atlanta Intl, United States)
(0.001868011744254709, Los Angeles Intl, United States)
(0.0018192521054826627, Eldorado Intl, Colombia)
(0.0016613609288016421, Aeroparque Jorge Newbery, Argentina)
(0.0015767076368487962, Licenciado Benito Juarez Intl, Mexico)
(0.0015213860083508283, Ninoy Aquino Intl, Philippines)
(0.0015176519490296876, Capital Intl, China)
(0.0014788721504975586, Tokyo Intl, Japan)
(0.0014293915174160541, Ataturk, Turkey)
(0.0013994309888851002, Johannesburg Intl, South Africa)
(0.0013815522573320921, Minneapolis St Paul Intl, United States)
(0.0012774439010746215, Charlotte Douglas Intl, United States)
(0.0012725536431500886, Brisbane Intl, Australia)
(0.0012593033756788808, Indira Gandhi Intl, India)
(0.0012524668693958143, Changi Intl, Singapore)
(0.0012200915201698065, Lester B Pearson Intl, Canada)
(0.001217828984964509, Vancouver Intl, Canada)
(0.001216472959884301, George Bush Intercontinental, United States)
(0.0011831646991076051, Pulkovo, Russia)
(0.0011510754963919862, Schiphol, Netherlands)
(0.001123497237715379, Dubai Intl, United Arab Emirates)
(0.001118261851777673, Charles De Gaulle, France)
(0.0011121998563247812, Chhatrapati Shivaji Intl, India)
(0.001110468748381088, Mehrabad Intl, Iran)
(0.0010994644884675681, Frankfurt Main, Germany)
(0.0010944332364950765, Pudong, China)
(0.0010916045408307011, Auckland Intl, New Zealand)
(0.0010853555729685882, Helsinki Vantaa, Finland)
(0.0010771685465407487, Jorge Chavez Intl, Peru)
(0.001052715354608321, Barcelona, Spain)
(0.0010526362403304522, Incheon Intl, South Korea)
(0.0010448242568719915, Heathrow, United Kingdom)
(0.001040673299528351, Ted Stevens Anchorage Intl, United States)
(0.0010406188716616078, John F Kennedy Intl, United States)
(0.0010351848323098573, Suvarnabhumi Intl, Thailand)
(0.0010243648664042262, Don Muang Intl, Thailand)
(0.000999118098052216, Wujiaba, China)
(0.0009955531435648687, Soekarno Hatta Intl, Indonesia)
(0.0009951668086029982, Detroit Metro Wayne Co, United States)
(0.0009917193065199093, Seattle Tacoma Intl, United States)
(0.0009910537873740026, Gardermoen, Norway)
(0.000989649059965961, Orly, France)
(0.000988836310592512, Bethel, United States)
(0.0009877563888063133, Arlanda, Sweden)
(0.0009754618132919422, Miami Intl, United States)
(0.0009658908534318412, San Francisco Intl, United States)
(0.0009432988924447411, Kuala Lumpur Intl, Malaysia)
(0.0009417532381168069, Faa\\'a International, French Polynesia)
(0.0009234921371639716, King Abdulaziz Intl, Saudi Arabia)
(0.0009134177637222419, Gatwick, United Kingdom)
(0.000911856073267752, Shuangliu, China)
(0.000905980194561708, Baiyun Intl, China)
(0.000897915926261646, Washington Dulles Intl, United States)
(0.0008936431940846857, Son Sant Joan, Spain)
(0.0008891924212077323, General Edward Lawrence Logan Intl, United States)
(0.0008890320787861992, Melbourne Intl, Australia)
(0.0008886909565209705, Mc Carran Intl, United States)
(0.0008796555399807707, Fiumicino, Italy)
(0.0008733852812252868, Eleftherios Venizelos Intl, Greece)
(0.0008697452861600762, Salt Lake City Intl, United States)
(0.000868696914011288, Viracopos, Brazil)
(0.0008680362318484207, Schwechat, Austria)
(0.0008607878120859118, King Khaled Intl, Saudi Arabia)
(0.000858484988959106, Honiara International, Solomon Islands)
(0.0008546475849612811, Barajas, Spain)
(0.0008421731920545384, Philadelphia Intl, United States)
(0.0008359728418126079, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0008345602425912224, Pierre Elliott Trudeau Intl, Canada)
(0.0008271949421669345, Hong Kong Intl, Hong Kong)
(0.0008260830910223038, Bole Intl, Ethiopia)
(0.0008243878712274715, Sheremetyevo, Russia)
(0.0008240614493555529, Fairbanks Intl, United States)
(0.0008210579851573342, Diwopu, China)
(0.0008202931955829083, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0008079837040570468, Perth Intl, Australia)
(0.0008053123622611553, Houari Boumediene, Algeria)
(0.0008045538650010106, Franz Josef Strauss, Germany)
(0.0008000708082993414, Fort Lauderdale Hollywood Intl, United States)
(0.0007979747296702416, Simon Bolivar Intl, Venezuela)
(0.0007972855241729634, Jomo Kenyatta International, Kenya)
(0.0007956248138427019, Phoenix Sky Harbor Intl, United States)
(0.0007878160429947125, Sabiha Gokcen, Turkey)
(0.0007829852999350175, Kastrup, Denmark)
(0.0007591338292745555, Presidente Juscelino Kubitschek, Brazil)
