Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0189032183106848
SUM:1.003842377359299
SUM:1.000781119975971
SUM:1.0001647409834826
SUM:1.0000409549273521
SUM:1.0000161156259997
SUM:1.0000111308044237
SUM:1.0000101310528187
SUM:1.0000099305899017
SUM:1.0000098904045178
SUM:1.0000098823507593
SUM:1.000009880736994
SUM:1.0000098804136732
SUM:1.0000098803489084
SUM:1.0000098803359347
SUM:1.0000098803333375
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0013495387493161826, Denver Intl, United States)
(0.0012023438591805794, Domododevo, Russia)
(0.0011397337560890056, Chicago Ohare Intl, United States)
(0.0010693660526131213, Dallas Fort Worth Intl, United States)
(0.0010309111797200193, Sydney Intl, Australia)
(0.0010251262070484, Hartsfield Jackson Atlanta Intl, United States)
(0.001024635079987503, Eldorado Intl, Colombia)
(0.0009656941499589716, Aeroparque Jorge Newbery, Argentina)
(0.0009132214206288335, Los Angeles Intl, United States)
(0.0008995905835496794, Licenciado Benito Juarez Intl, Mexico)
(0.0008894383772501931, Tokyo Intl, Japan)
(0.0008817373482782357, Ninoy Aquino Intl, Philippines)
(0.0008004084865333868, Johannesburg Intl, South Africa)
(0.0007993859803502236, Capital Intl, China)
(0.0007878343024911533, Ataturk, Turkey)
(0.0007824013145799871, Minneapolis St Paul Intl, United States)
(0.0007304008001177845, Charlotte Douglas Intl, United States)
(0.0007011676307391814, Indira Gandhi Intl, India)
(0.0006980572766801867, Vancouver Intl, Canada)
(0.0006823938610453679, George Bush Intercontinental, United States)
(0.0006820286845054466, Brisbane Intl, Australia)
(0.0006796493263120326, Mehrabad Intl, Iran)
(0.0006579980094851206, Helsinki Vantaa, Finland)
(0.0006557809852977768, Pulkovo, Russia)
(0.0006466831754600076, Don Muang Intl, Thailand)
(0.000640179099484951, Chhatrapati Shivaji Intl, India)
(0.0006292356934694697, Lester B Pearson Intl, Canada)
(0.0006248461072428826, Jorge Chavez Intl, Peru)
(0.000618282578624078, Auckland Intl, New Zealand)
(0.0005899814508088622, Wujiaba, China)
(0.000587228008388897, Orly, France)
(0.0005855517270742525, Changi Intl, Singapore)
(0.000582984332104601, Pudong, China)
(0.0005816991144162448, Arlanda, Sweden)
(0.0005814178445860249, Gardermoen, Norway)
(0.0005778451792477036, Schiphol, Netherlands)
(0.0005773583202653061, Detroit Metro Wayne Co, United States)
(0.0005754995324828956, Ted Stevens Anchorage Intl, United States)
(0.0005684835221485896, Bethel, United States)
(0.0005599383354131855, Barcelona, Spain)
(0.0005590102315544566, Dubai Intl, United Arab Emirates)
(0.0005578410692966651, Soekarno Hatta Intl, Indonesia)
(0.0005527697780529466, Faa\\'a International, French Polynesia)
(0.0005486592893921781, King Abdulaziz Intl, Saudi Arabia)
(0.0005423791137313978, Viracopos, Brazil)
(0.0005361066309788633, Salt Lake City Intl, United States)
(0.0005353619109119044, Shuangliu, China)
(0.000534361733320465, Suvarnabhumi Intl, Thailand)
(0.0005326341605292273, Eleftherios Venizelos Intl, Greece)
(0.0005259900640165607, King Khaled Intl, Saudi Arabia)
(0.0005245345161594571, Seattle Tacoma Intl, United States)
(0.0005203862382209373, Incheon Intl, South Korea)
(0.00051881397584934, San Francisco Intl, United States)
(0.000517747669767776, General Edward Lawrence Logan Intl, United States)
(0.0005166160260492367, Son Sant Joan, Spain)
(0.000516404309867049, Charles De Gaulle, France)
(0.00051580081270402, Honiara International, Solomon Islands)
(0.0005129794372001758, Houari Boumediene, Algeria)
(0.0005110894889190124, Frankfurt Main, Germany)
(0.000510399062121614, Washington Dulles Intl, United States)
(0.0005066881767221472, Diwopu, China)
(0.000506398024191346, Baiyun Intl, China)
(0.000503140885393206, Sabiha Gokcen, Turkey)
(0.0005006561228486928, Miami Intl, United States)
(0.000499263362327275, John F Kennedy Intl, United States)
(0.0004963633145042875, Gatwick, United Kingdom)
(0.0004949462719247313, Port Moresby Jacksons Intl, Papua New Guinea)
(0.000493177368908449, Simon Bolivar Intl, Venezuela)
(0.0004904080765460819, Mc Carran Intl, United States)
(0.000490204711812928, Fairbanks Intl, United States)
(0.00048463507621996304, Philadelphia Intl, United States)
(0.0004845683836945268, Perth Intl, Australia)
(0.00048366041187333406, Kuala Lumpur Intl, Malaysia)
(0.00048316898471863624, Melbourne Intl, Australia)
(0.00048151096847628635, Bole Intl, Ethiopia)
(0.0004775104523669397, Schwechat, Austria)
(0.00047423542111877715, Tribhuvan Intl, Nepal)
(0.00047186861914168385, Pierre Elliott Trudeau Intl, Canada)
(0.0004649162194135752, Sheremetyevo, Russia)
(0.00046424141892164174, Fiumicino, Italy)
(0.0004617479532425963, Fort Lauderdale Hollywood Intl, United States)
(0.0004578313830546462, Jomo Kenyatta International, Kenya)
(0.00045601732177243527, Vnukovo, Russia)
(0.000455488472147877, Lambert St Louis Intl, United States)
(0.0004532045905212555, Phoenix Sky Harbor Intl, United States)
(0.0004531769597197617, Heathrow, United Kingdom)
(0.0004480761948340852, Barajas, Spain)
(0.0004474218578201267, Kastrup, Denmark)
(0.00044594668898476346, Xianyang, China)
(0.0004456649880266748, Juneau Intl, United States)
(0.0004442373376758339, Calgary Intl, Canada)
(0.0004398635663327589, Lynden Pindling Intl, Bahamas)
(0.00043866694719067246, Adelaide Intl, Australia)
(0.000433505895698868, Presidente Juscelino Kubitschek, Brazil)
(0.000432414540722624, Orlando Sanford Intl, United States)
(0.0004318155434442409, Jose Marti Intl, Cuba)
(0.00042811900425751613, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0004275679252989952, Franz Josef Strauss, Germany)
(0.0004232244283216268, Luanda 4 De Fevereiro, Angola)
(0.000422367120119327, Mashhad, Iran)
(0.0004215719580867002, Tansonnhat Intl, Vietnam)
(0.00042055597487095813, Nnamdi Azikiwe Intl, Nigeria)
(0.0004158253186268209, Manchester, United Kingdom)
(0.00041414502215784564, Hasanuddin, Indonesia)
(0.00041180748464918497, Cairo Intl, Egypt)
(0.0004085831704897056, Cairns Intl, Australia)
(0.0004084820072862821, Eduardo Gomes Intl, Brazil)
(0.0004081700101092737, Brussels Natl, Belgium)
(0.00040643117115433177, Orlando Intl, United States)
(0.0004060168222041778, Netaji Subhash Chandra Bose Intl, India)
(0.0003998885835357107, Honolulu Intl, United States)
(0.0003997838134175691, Marcos A Gelabert Intl, Panama)
(0.0003982365340085536, Jinnah Intl, Pakistan)
(0.0003979780161823583, Stansted, United Kingdom)
(0.0003958280734321089, Port Vila Bauerfield, Vanuatu)
(0.0003938865252017752, Hong Kong Intl, Hong Kong)
(0.00038967465924276293, Mariscal Sucre Intl, Ecuador)
(0.0003866944697835155, Wellington Intl, New Zealand)
(0.00038651547933011405, Glasgow, United Kingdom)
(0.0003856684590063153, Yellowknife, Canada)
(0.00038424306621529316, Mactan Cebu Intl, Philippines)
(0.00038287097536494007, Dusseldorf, Germany)
(0.00038087728124202745, Arturo Merino Benitez Intl, Chile)
(0.0003704787146203405, Newark Liberty Intl, United States)
(0.0003696438906420028, Jiangbei, China)
(0.0003676700492229632, Sioux Lookout, Canada)
(0.00036519516860586193, New Chitose, Japan)
(0.00036472087672704547, Juan Santamaria Intl, Costa Rica)
(0.00036466942054447053, Magenta, New Caledonia)
(0.0003637782299773859, Noibai Intl, Vietnam)
(0.00036363439190281006, Zurich, Switzerland)
(0.0003610872656497402, Baoan Intl, China)
(0.0003602314725636059, Deputado Luis Eduardo Magalhaes, Brazil)
(0.00035711114478414953, Nadi Intl, Fiji)
(0.00035609946250740555, Hongqiao Intl, China)
(0.0003558782159284897, Taoyuan Intl, Taiwan)
(0.00035461700900344593, Henri Coanda, Romania)
(0.00035315212031092346, Lisboa, Portugal)
(0.0003514786204294744, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0003511518738527053, Murtala Muhammed, Nigeria)
(0.0003511428572282563, Ralph Wien Mem, United States)
(0.0003493473203426969, Bangalore, India)
(0.00034885090462921566, Portland Intl, United States)
(0.0003479397281104699, Almaty, Kazakhstan)
(0.00034642788686861615, Mohammed V Intl, Morocco)
(0.0003449009292970862, Narita Intl, Japan)
(0.0003447376636345632, Ketchikan Intl, United States)
(0.00034460216921621765, Chinggis Khaan Intl, Mongolia)
(0.0003424704355653439, Nausori Intl, Fiji)
(0.00034231966312279366, Luis Munoz Marin Intl, Puerto Rico)
(0.0003414809950343033, Cote D\\'Azur, France)
(0.0003405615351731706, Bergamo Orio Al Serio, Italy)
(0.00033953174128466485, Abu Dhabi Intl, United Arab Emirates)
(0.00033947056821808253, Kotoka Intl, Ghana)
(0.0003387374423750528, Tripoli Intl, Libya)
(0.0003382000054597531, Jeju Intl, South Korea)
(0.0003367911909653991, Dublin, Ireland)
(0.0003354849759587864, Nome, United States)
(0.00033490855236009546, Chicago Midway Intl, United States)
(0.0003339179333043392, King Salmon, United States)
(0.0003334944904012602, Edmonton Intl, Canada)
(0.0003324581511929264, Esenboga, Turkey)
(0.00033082024120463624, Ronald Reagan Washington Natl, United States)
(0.00033033920946561144, Cancun Intl, Mexico)
(0.0003299707765880243, Bali Ngurah Rai, Indonesia)
(0.0003281214869247166, Alicante, Spain)
(0.00032810587970237234, Saint Exupery, France)
(0.00032592189486985043, Ivato, Madagascar)
(0.00032514004742082217, Mandalay Intl, Burma)
(0.0003251387428678786, Sochi, Russia)
(0.00032511182743916504, Miri, Malaysia)
(0.00032435865184493335, Cleveland Hopkins Intl, United States)
(0.0003237399044241749, Provence, France)
(0.00032167179656441495, Cape Town Intl, South Africa)
(0.00032053286198986143, Gran Canaria, Spain)
(0.0003183760317659244, Tanna island, Vanuatu)
(0.0003183296720033637, Birmingham, United Kingdom)
(0.0003180011480946029, Girona, Spain)
(0.00031672593520276404, Osaka Intl, Japan)
(0.00031592544990865265, Nairobi Wilson, Kenya)
(0.00031350966292595394, Koltsovo, Russia)
(0.00031260933865295197, City, United Kingdom)
(0.00031206989407647377, Rarotonga Intl, Cook Islands)
(0.00031157677955494044, Malpensa, Italy)
(0.0003112404976849183, Iqaluit, Canada)
(0.00031117847077820056, Yuzhny, Uzbekistan)
(0.00031101600432500835, Afonso Pena, Brazil)
(0.0003110125704277228, Christchurch Intl, New Zealand)
(0.0003096630467686071, Marechal Rondon, Brazil)
(0.00030872821034156386, Xiaoshan, China)
(0.0003080144000130639, Phoenix-Mesa Gateway, United States)
(0.0003062837675605776, Darwin Intl, Australia)
(0.0003060939789819784, Gaoqi, China)
(0.00030543382237655957, Astana Intl, Kazakhstan)
(0.0003053551128988914, Tancredo Neves Intl, Brazil)
(0.00030432389923553733, Khartoum, Sudan)
(0.00030282771064722887, Yakutsk, Russia)
(0.0003025550267595046, La Guardia, United States)
(0.00030221384442917097, Beijing Nanyuan Airport, China)
(0.0003017075111645425, Hyderabad, India)
(0.0003016370628367923, Zia Intl, Bangladesh)
(0.0003014299207652227, Yangon Intl, Burma)
(0.0003012631209615398, Liuting, China)
(0.00030079308963162313, Edinburgh, United Kingdom)
(0.0003002187095976829, Flesland, Norway)
(0.00029727263635511857, Tianhe, China)
(0.00029609227470227603, Malaga, Spain)
(0.00029465455175210883, Taiping, China)
(0.0002938484999936993, Congonhas, Brazil)
(0.0002910053543344115, Boryspil Intl, Ukraine)
(0.0002906403143781778, El Alto Intl, Bolivia)
(0.00029013577156169806, Reykjavik, Iceland)
(0.00028996779544715825, Tocumen Intl, Panama)
(0.0002886146799290748, Kota Kinabalu Intl, Malaysia)
(0.00028826500207734416, Doha Intl, Qatar)
(0.0002880689070303779, Tampa Intl, United States)
(0.0002873660143129143, Lusaka Intl, Zambia)
(0.0002867575195640874, Val De Cans Intl, Brazil)
(0.00028647150069447324, Tegel, Germany)
(0.0002858321846838664, Bodo, Norway)
(0.0002857646187569126, Salgado Filho, Brazil)
(0.0002848792151879201, General Abelardo L Rodriguez Intl, Mexico)
(0.00028400106481886434, Galeao Antonio Carlos Jobim, Brazil)
(0.0002820352393169969, Tolmachevo, Russia)
(0.00028183892870317265, Sanaa Intl, Yemen)
(0.00028155367954022924, Jose Joaquin De Olmedo Intl, Ecuador)
(0.00028108722712613925, Baltimore Washington Intl, United States)
(0.00028074066392796477, Tobias Bolanos International Airport, Costa Rica)
(0.0002806683005184655, Huanghua, China)
(0.0002802299189905, Chaklala, Pakistan)
(0.00027935144026475174, Seeb Intl, Oman)
(0.00027910649511666186, Kahului, United States)
(0.00027797306628887444, Polonia, Indonesia)
(0.00027790162640406837, Wattay Intl, Laos)
(0.00027775012838780316, Goose Bay, Canada)
(0.00027754576076368114, Winnipeg Intl, Canada)
