Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.037806436621518
SUM:1.015230088035783
SUM:1.0060254811635263
SUM:1.0023191066947335
SUM:1.0008310583217006
SUM:1.0002340506958494
SUM:0.9999944585484543
SUM:0.9998983659848993
SUM:0.9998598333141049
SUM:0.9998443854149379
SUM:0.999838193729699
SUM:0.999835712414025
SUM:0.9998347181833548
SUM:0.9998343198638835
SUM:0.999834160303048
SUM:0.9998340963925514
SUM:0.999834070796336
SUM:0.9998340605459188
SUM:0.9998340564413026
SUM:0.9998340547978033
SUM:0.9998340541397847
SUM:0.9998340538763476
SUM:0.9998340537708827
SUM:0.9998340537286665
SUM:0.9998340537117693
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0025263982294397623, Denver Intl, United States)
(0.00217676951851124, Chicago Ohare Intl, United States)
(0.002118068100834474, Domododevo, Russia)
(0.0019195635876609449, Sydney Intl, Australia)
(0.0019088472076028479, Dallas Fort Worth Intl, United States)
(0.0018810818296769148, Hartsfield Jackson Atlanta Intl, United States)
(0.0018680117443167954, Los Angeles Intl, United States)
(0.0018192521054937014, Eldorado Intl, Colombia)
(0.0016613609287776951, Aeroparque Jorge Newbery, Argentina)
(0.001576707636886796, Licenciado Benito Juarez Intl, Mexico)
(0.001521386008258491, Ninoy Aquino Intl, Philippines)
(0.001517651948865696, Capital Intl, China)
(0.001478872150453158, Tokyo Intl, Japan)
(0.0014293915173941316, Ataturk, Turkey)
(0.0013994309888584373, Johannesburg Intl, South Africa)
(0.0013815522573932834, Minneapolis St Paul Intl, United States)
(0.0012774439011300435, Charlotte Douglas Intl, United States)
(0.0012725536430241997, Brisbane Intl, Australia)
(0.0012593033756157148, Indira Gandhi Intl, India)
(0.001252466869225681, Changi Intl, Singapore)
(0.001220091520293104, Lester B Pearson Intl, Canada)
(0.0012178289850399721, Vancouver Intl, Canada)
(0.00121647295993665, George Bush Intercontinental, United States)
(0.0011831646990939347, Pulkovo, Russia)
(0.0011510754963994362, Schiphol, Netherlands)
(0.0011234972376521135, Dubai Intl, United Arab Emirates)
(0.001118261851789069, Charles De Gaulle, France)
(0.0011121998562720174, Chhatrapati Shivaji Intl, India)
(0.0011104687483490805, Mehrabad Intl, Iran)
(0.0010994644884760498, Frankfurt Main, Germany)
(0.001094433236359259, Pudong, China)
(0.0010916045407592023, Auckland Intl, New Zealand)
(0.0010853555729679277, Helsinki Vantaa, Finland)
(0.00107716854653949, Jorge Chavez Intl, Peru)
(0.0010527153546278276, Barcelona, Spain)
(0.0010526362402188702, Incheon Intl, South Korea)
(0.0010448242569150803, Heathrow, United Kingdom)
(0.001040673299499996, Ted Stevens Anchorage Intl, United States)
(0.0010406188717088658, John F Kennedy Intl, United States)
(0.0010351848322151256, Suvarnabhumi Intl, Thailand)
(0.0010243648663766176, Don Muang Intl, Thailand)
(0.0009991180979322244, Wujiaba, China)
(0.0009955531434740915, Soekarno Hatta Intl, Indonesia)
(0.0009951668086515895, Detroit Metro Wayne Co, United States)
(0.0009917193065518556, Seattle Tacoma Intl, United States)
(0.0009910537873813541, Gardermoen, Norway)
(0.0009896490599719263, Orly, France)
(0.0009888363105244246, Bethel, United States)
(0.0009877563888094068, Arlanda, Sweden)
(0.0009754618133224003, Miami Intl, United States)
(0.0009658908534713313, San Francisco Intl, United States)
(0.0009432988923421302, Kuala Lumpur Intl, Malaysia)
(0.0009417532380952249, Faa\\'a International, French Polynesia)
(0.0009234921371369869, King Abdulaziz Intl, Saudi Arabia)
(0.0009134177637511803, Gatwick, United Kingdom)
(0.0009118560731436432, Shuangliu, China)
(0.0009059801944353811, Baiyun Intl, China)
(0.0008979159262963374, Washington Dulles Intl, United States)
(0.0008936431940934706, Son Sant Joan, Spain)
(0.0008891924212540234, General Edward Lawrence Logan Intl, United States)
(0.0008890320786928235, Melbourne Intl, Australia)
(0.0008886909565893683, Mc Carran Intl, United States)
(0.0008796555399868663, Fiumicino, Italy)
(0.0008733852812292603, Eleftherios Venizelos Intl, Greece)
(0.0008697452861880581, Salt Lake City Intl, United States)
(0.0008686969139929066, Viracopos, Brazil)
(0.0008680362318516123, Schwechat, Austria)
(0.0008607878120609969, King Khaled Intl, Saudi Arabia)
(0.0008584849888987124, Honiara International, Solomon Islands)
(0.0008546475849735533, Barajas, Spain)
(0.000842173192103438, Philadelphia Intl, United States)
(0.0008359728416599602, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0008345602427032221, Pierre Elliott Trudeau Intl, Canada)
(0.000827194942039435, Hong Kong Intl, Hong Kong)
(0.0008260830910035544, Bole Intl, Ethiopia)
(0.000824387871213362, Sheremetyevo, Russia)
(0.0008240614493422382, Fairbanks Intl, United States)
(0.0008210579850961994, Diwopu, China)
(0.0008202931955560188, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0008079837039961785, Perth Intl, Australia)
(0.0008053123622602689, Houari Boumediene, Algeria)
(0.0008045538650047381, Franz Josef Strauss, Germany)
(0.0008000708083409254, Fort Lauderdale Hollywood Intl, United States)
(0.0007979747296767608, Simon Bolivar Intl, Venezuela)
(0.0007972855241523655, Jomo Kenyatta International, Kenya)
(0.000795624813890987, Phoenix Sky Harbor Intl, United States)
(0.0007878160429921653, Sabiha Gokcen, Turkey)
(0.0007829853000134235, Kastrup, Denmark)
(0.0007591338292459192, Presidente Juscelino Kubitschek, Brazil)
(0.0007486686836029795, Xianyang, China)
(0.0007454533068615948, Manchester, United Kingdom)
(0.0007452744472430271, Brussels Natl, Belgium)
(0.0007289606934171112, Orlando Intl, United States)
(0.0007248187474909838, Tribhuvan Intl, Nepal)
(0.000722341089216214, Lambert St Louis Intl, United States)
(0.000719425940971974, Juneau Intl, United States)
