Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0002788428022809
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.004947058821716827, Denver Intl, United States)
(0.004517831481053161, Domododevo, Russia)
(0.00401011644003673, Chicago Ohare Intl, United States)
(0.003906865496113264, Dallas Fort Worth Intl, United States)
(0.0036921343851448215, Eldorado Intl, Colombia)
(0.0036292230761062086, Hartsfield Jackson Atlanta Intl, United States)
(0.0035693293539397503, Sydney Intl, Australia)
(0.0035569352964135077, Aeroparque Jorge Newbery, Argentina)
(0.0032842533845250303, Tokyo Intl, Japan)
(0.0031857597750891736, Licenciado Benito Juarez Intl, Mexico)
(0.003171886345703989, Ninoy Aquino Intl, Philippines)
(0.002806409358760384, Los Angeles Intl, United States)
(0.002733587025137222, Johannesburg Intl, South Africa)
(0.0026412757555898366, Minneapolis St Paul Intl, United States)
(0.002608439856334682, Ataturk, Turkey)
(0.002552042264724988, Capital Intl, China)
(0.002456611731762885, Charlotte Douglas Intl, United States)
(0.0023654531907450304, Mehrabad Intl, Iran)
(0.0022862267804814396, Vancouver Intl, Canada)
(0.002249437065624016, Don Muang Intl, Thailand)
(0.002244795805738759, Indira Gandhi Intl, India)
(0.002215346211629379, Helsinki Vantaa, Finland)
(0.0021999391501997603, George Bush Intercontinental, United States)
(0.0020676289702206336, Brisbane Intl, Australia)
(0.0020511339819603083, Chhatrapati Shivaji Intl, India)
(0.002032221201429316, Pulkovo, Russia)
(0.001985245167203202, Jorge Chavez Intl, Peru)
(0.0019091000820747486, Auckland Intl, New Zealand)
(0.0018743586456113695, Wujiaba, China)
(0.001856655588726935, Orly, France)
(0.0018149323156116215, Arlanda, Sweden)
(0.001811861989391559, Gardermoen, Norway)
(0.0017916292936484713, Detroit Metro Wayne Co, United States)
(0.001784047918313602, Lester B Pearson Intl, Canada)
(0.00172527949042892, Viracopos, Brazil)
(0.0017037514279810962, Bethel, United States)
(0.0016839168585544098, Salt Lake City Intl, United States)
(0.0016819358365387585, King Abdulaziz Intl, Saudi Arabia)
(0.0016715889203706652, Pudong, China)
(0.0016674148631356373, Ted Stevens Anchorage Intl, United States)
(0.0016569434614921732, Faa\\'a International, French Polynesia)
(0.0016463629980115638, Eleftherios Venizelos Intl, Greece)
(0.001630605285545482, Soekarno Hatta Intl, Indonesia)
(0.0016237783020145577, King Khaled Intl, Saudi Arabia)
(0.0016209115201668213, Shuangliu, China)
(0.0016104261730440384, Houari Boumediene, Algeria)
(0.0015851359044828696, Sabiha Gokcen, Turkey)
(0.0015611138397823205, Barcelona, Spain)
(0.001542671064967572, Honiara International, Solomon Islands)
(0.001539795309148962, Diwopu, China)
(0.0015214714308656194, General Edward Lawrence Logan Intl, United States)
(0.0015211287155764838, Schiphol, Netherlands)
(0.0015077616362225478, Son Sant Joan, Spain)
(0.0014779228861759462, Simon Bolivar Intl, Venezuela)
(0.0014703347805002178, Tribhuvan Intl, Nepal)
(0.0014498673241951801, Washington Dulles Intl, United States)
(0.0014225956921376233, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0014177388273479354, Dubai Intl, United Arab Emirates)
(0.0014085293665884585, Baiyun Intl, China)
(0.001406465078153236, San Francisco Intl, United States)
(0.0014032857246542004, Perth Intl, Australia)
(0.0013894887914935098, Changi Intl, Singapore)
(0.0013887018770853922, Fairbanks Intl, United States)
(0.0013847454256840706, Seattle Tacoma Intl, United States)
(0.0013787726940099872, Suvarnabhumi Intl, Thailand)
(0.0013629185993670086, Philadelphia Intl, United States)
(0.0013549851525577734, Vnukovo, Russia)
(0.001334278334781542, Mc Carran Intl, United States)
(0.0013322743351203569, Lambert St Louis Intl, United States)
(0.0013298261829880417, Gatwick, United Kingdom)
(0.0013282295450861047, Bole Intl, Ethiopia)
(0.001325346678783579, Orlando Sanford Intl, United States)
(0.0013043682529202147, Lynden Pindling Intl, Bahamas)
(0.0012958087657542572, Adelaide Intl, Australia)
(0.0012665903670127155, Pierre Elliott Trudeau Intl, Canada)
(0.0012657840234255365, Schwechat, Austria)
(0.0012657758151575057, Nnamdi Azikiwe Intl, Nigeria)
(0.0012656626733495114, Jose Marti Intl, Cuba)
(0.001263069788659135, Juneau Intl, United States)
(0.0012593451829186393, Incheon Intl, South Korea)
(0.0012579945288749466, Fort Lauderdale Hollywood Intl, United States)
(0.0012574254572777401, Calgary Intl, Canada)
(0.0012505109220723413, Melbourne Intl, Australia)
(0.001243224559637376, Miami Intl, United States)
(0.001227122167751221, Sheremetyevo, Russia)
(0.0012265132152352322, Xianyang, China)
(0.001210166609191925, Jomo Kenyatta International, Kenya)
(0.0012078067524260202, Mashhad, Iran)
(0.001205574635396139, Luanda 4 De Fevereiro, Angola)
(0.0012054739554410874, Phoenix Sky Harbor Intl, United States)
(0.0011806078885672425, Tansonnhat Intl, Vietnam)
(0.0011803796370908944, Kastrup, Denmark)
(0.00115911133443569, Kuala Lumpur Intl, Malaysia)
(0.0011511034982243252, Hasanuddin, Indonesia)
(0.0011409830719071221, Fiumicino, Italy)
(0.0011387593810296165, John F Kennedy Intl, United States)
(0.0011107353857073997, Charles De Gaulle, France)
(0.0011095539561997876, Jinnah Intl, Pakistan)
(0.0011077051976117174, Presidente Juscelino Kubitschek, Brazil)
(0.0010972944426564275, Frankfurt Main, Germany)
(0.001089791593050472, Stansted, United Kingdom)
(0.0010873490976762506, Netaji Subhash Chandra Bose Intl, India)
(0.0010858387965452714, Cairns Intl, Australia)
