Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0002788428022809
SUM:0.9994997005643587
SUM:0.9989009478588009
SUM:0.9985203001282833
SUM:0.9982754805135646
SUM:0.9980985230501747
SUM:0.9979742353281459
SUM:0.9978838424301341
SUM:0.9978171610938518
SUM:0.9977676901649387
SUM:0.9977304418392055
SUM:0.9977022035376139
SUM:0.9976806749234217
SUM:0.997664148044469
SUM:0.9976514137718662
SUM:0.9976415623159084
SUM:0.9976339146533469
SUM:0.9976279627394976
SUM:0.9976233189069481
SUM:0.9976196883402473
SUM:0.9976168449512777
SUM:0.9976146145590559
SUM:0.9976128626404643
SUM:0.997611484892668
SUM:0.9976104002426165
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.005157517527238918, Denver Intl, United States)
(0.0050459054851716015, Chicago Ohare Intl, United States)
(0.00499216854223761, Los Angeles Intl, United States)
(0.003930475781390573, Hartsfield Jackson Atlanta Intl, United States)
(0.003776442609024186, Sydney Intl, Australia)
(0.003760605437241205, Heathrow, United Kingdom)
(0.003749813916328472, Changi Intl, Singapore)
(0.003723322204817191, Capital Intl, China)
(0.003661646393119126, Charles De Gaulle, France)
(0.003607011459324333, Dallas Fort Worth Intl, United States)
(0.0035663872746052473, Frankfurt Main, Germany)
(0.0035453288826943668, Domododevo, Russia)
(0.0033341553038283376, John F Kennedy Intl, United States)
(0.0033081815819384634, Schiphol, Netherlands)
(0.0031483393223966614, Lester B Pearson Intl, Canada)
(0.0031139596779308134, Dubai Intl, United Arab Emirates)
(0.0030772182238641738, Incheon Intl, South Korea)
(0.0029947231587802493, Ataturk, Turkey)
(0.0029829567303080486, Eldorado Intl, Colombia)
(0.0028918477046992654, Pudong, China)
(0.002834497112323485, Barcelona, Spain)
(0.002783342914763444, Licenciado Benito Juarez Intl, Mexico)
(0.002727765809404575, Hong Kong Intl, Hong Kong)
(0.0027113671679106295, Brisbane Intl, Australia)
(0.0026763203841943485, Suvarnabhumi Intl, Thailand)
(0.002635227837602457, Miami Intl, United States)
(0.0025962487888255338, Ninoy Aquino Intl, Philippines)
(0.0025796376373962847, Minneapolis St Paul Intl, United States)
(0.0025679054628841348, George Bush Intercontinental, United States)
(0.002561620312605815, Indira Gandhi Intl, India)
(0.0025330316359650626, Charlotte Douglas Intl, United States)
(0.0025239042068393295, Aeroparque Jorge Newbery, Argentina)
(0.0025186147136715483, Fiumicino, Italy)
(0.0025130727673489837, San Francisco Intl, United States)
(0.002510106328846271, Kuala Lumpur Intl, Malaysia)
(0.0024827326157535385, Seattle Tacoma Intl, United States)
(0.0024639280804756914, Gatwick, United Kingdom)
(0.0024543180296021723, Pulkovo, Russia)
(0.0024196293080226833, Barajas, Spain)
(0.002409410605544379, Franz Josef Strauss, Germany)
(0.002365714022486611, Johannesburg Intl, South Africa)
(0.002351869778764553, Narita Intl, Japan)
(0.0023125953119853605, Schwechat, Austria)
(0.002243814545969962, Mc Carran Intl, United States)
(0.0022383991383825015, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.002232734175207784, Baiyun Intl, China)
(0.0022316844373748766, Vancouver Intl, Canada)
(0.0021961045676849606, Chhatrapati Shivaji Intl, India)
(0.0021350355771735056, Soekarno Hatta Intl, Indonesia)
(0.0021226008921498398, Tokyo Intl, Japan)
(0.0021044928850002024, Ted Stevens Anchorage Intl, United States)
(0.002090052657963491, Auckland Intl, New Zealand)
(0.0020802966968052924, Melbourne Intl, Australia)
(0.0020800731526140156, Son Sant Joan, Spain)
(0.0020722054367126787, Detroit Metro Wayne Co, United States)
(0.002065436695586301, Manchester, United Kingdom)
(0.002062344495127469, Newark Liberty Intl, United States)
(0.002060650152787351, Brussels Natl, Belgium)
(0.0020244481846655262, Wujiaba, China)
(0.0020121839229380123, Shuangliu, China)
(0.0020120301804211847, Washington Dulles Intl, United States)
(0.0020026010050310543, Dusseldorf, Germany)
(0.001958962540407418, Jorge Chavez Intl, Peru)
(0.0019526358879881397, Philadelphia Intl, United States)
(0.0019510697214061296, Orlando Intl, United States)
(0.0019324178093374472, Phoenix Sky Harbor Intl, United States)
(0.0019268090292774113, Abu Dhabi Intl, United Arab Emirates)
(0.001922023516086244, Kastrup, Denmark)
(0.0019153483842352902, General Edward Lawrence Logan Intl, United States)
(0.0019071405128320562, Pierre Elliott Trudeau Intl, Canada)
(0.0018967425853659988, Taoyuan Intl, Taiwan)
(0.001891917106356973, Gardermoen, Norway)
(0.0018830046619371865, Sheremetyevo, Russia)
(0.001866765193912635, Bethel, United States)
(0.0018413672201916486, Orly, France)
(0.0018413297315124518, Zurich, Switzerland)
(0.0018376910067702166, Arlanda, Sweden)
(0.0018172465355272484, Fort Lauderdale Hollywood Intl, United States)
(0.0017529067757112526, Helsinki Vantaa, Finland)
(0.001720621349049494, Xianyang, China)
(0.0017156960024155364, King Abdulaziz Intl, Saudi Arabia)
(0.001661716230075495, Presidente Juscelino Kubitschek, Brazil)
(0.0016589525332413515, Mehrabad Intl, Iran)
(0.0016364117756503232, Jomo Kenyatta International, Kenya)
(0.0015694426301818454, Lisboa, Portugal)
(0.0015688538800369975, Eleftherios Venizelos Intl, Greece)
(0.0015626797953147236, Faa\\'a International, French Polynesia)
(0.0015525113871742067, Malpensa, Italy)
(0.001539571470860305, Bole Intl, Ethiopia)
(0.001526074088164815, Jiangbei, China)
(0.0015163031201814883, King Khaled Intl, Saudi Arabia)
(0.0015106111243079704, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0015076496780038696, Honolulu Intl, United States)
(0.001497482400695257, Perth Intl, Australia)
(0.0014915301977147589, Salt Lake City Intl, United States)
(0.0014890135238228856, Cairo Intl, Egypt)
(0.001434721235701305, Honiara International, Solomon Islands)
(0.0014179754398912835, Xiaoshan, China)
(0.0014123475326237543, Dublin, Ireland)
(0.0014033583341807618, Diwopu, China)
(0.0013986697277226696, Baoan Intl, China)
(0.0013897638772500664, Fairbanks Intl, United States)
(0.0013674066304042315, Tegel, Germany)
(0.0013445759096452415, Calgary Intl, Canada)
(0.0013439882632473416, Doha Intl, Qatar)
(0.0013439143507234465, Arturo Merino Benitez Intl, Chile)
(0.0013285637936768554, Cancun Intl, Mexico)
(0.0013091111735033735, Hongqiao Intl, China)
(0.0013078790256972192, Don Muang Intl, Thailand)
(0.001306822848941646, Portland Intl, United States)
(0.001301379418389086, Simon Bolivar Intl, Venezuela)
(0.001295918217255943, Viracopos, Brazil)
(0.0012718700986453753, Lambert St Louis Intl, United States)
(0.00127071110869321, Sabiha Gokcen, Turkey)
(0.0012657429610313702, Malaga, Spain)
(0.0012564192409159792, Galeao Antonio Carlos Jobim, Brazil)
(0.001256006178255784, Gaoqi, China)
(0.0012462618896961176, Chicago Midway Intl, United States)
(0.0012349739199238217, La Guardia, United States)
(0.0012191161080449112, Baltimore Washington Intl, United States)
(0.001218590238177304, Stansted, United Kingdom)
(0.0012163841847633481, Kansai, Japan)
(0.0012103803006652837, Juneau Intl, United States)
(0.0011787601823357759, Ronald Reagan Washington Natl, United States)
(0.0011702738394142142, Netaji Subhash Chandra Bose Intl, India)
(0.0011546460192298326, Liuting, China)
(0.0011472555438406065, Tocumen Intl, Panama)
(0.0011415658626638958, Cairns Intl, Australia)
(0.0011380989187103135, Tansonnhat Intl, Vietnam)
(0.0011379685332031189, Tianhe, China)
