Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.3422795399094678
SUM:1.2739748426741704
SUM:1.2188131298052944
SUM:1.1746257526154884
SUM:1.1392686673008923
SUM:1.1109803625781207
SUM:1.088336921124503
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.029824677405871684, Port Moresby Jacksons Intl, Papua New Guinea)
(0.00803588707775803, Nadzab, Papua New Guinea)
(0.007897211858620495, Sydney Intl, Australia)
(0.007553626254210223, Tokua Airport, Papua New Guinea)
(0.0075027642592020785, Brisbane Intl, Australia)
(0.007264524976883623, Mount Hagen, Papua New Guinea)
(0.006941386322754902, Wewak Intl, Papua New Guinea)
(0.005960348941857598, Changi Intl, Singapore)
(0.005333932059122939, Madang, Papua New Guinea)
(0.005171164165473796, Los Angeles Intl, United States)
(0.0046274236096318045, Cairns Intl, Australia)
(0.0045439838129289825, Denver Intl, United States)
(0.004405318103473665, Chicago Ohare Intl, United States)
(0.004385812369927437, Melbourne Intl, Australia)
(0.004275213875208085, Ninoy Aquino Intl, Philippines)
(0.004063087047663356, Hong Kong Intl, Hong Kong)
(0.0038969248739658046, Auckland Intl, New Zealand)
(0.00385381693829688, Incheon Intl, South Korea)
(0.003809696432646856, Capital Intl, China)
(0.003544697109462833, Narita Intl, Japan)
(0.003422475572386987, Kimbe Airport, Papua New Guinea)
(0.0034037122025237614, Pudong, China)
(0.0033900655376968023, Hartsfield Jackson Atlanta Intl, United States)
(0.0033357028024526857, Suvarnabhumi Intl, Thailand)
(0.003319392174884362, Momote Airport, Papua New Guinea)
(0.00327620233060864, Heathrow, United Kingdom)
(0.0032556571293900416, Dallas Fort Worth Intl, United States)
(0.0032302485202159435, Domododevo, Russia)
(0.0031875372785302876, Honiara International, Solomon Islands)
(0.003183900264998035, Kuala Lumpur Intl, Malaysia)
(0.0031727411210543694, Dubai Intl, United Arab Emirates)
(0.003154769803829846, Charles De Gaulle, France)
(0.0030791322167405787, Frankfurt Main, Germany)
(0.002865272209111741, John F Kennedy Intl, United States)
(0.0028225665627478512, Schiphol, Netherlands)
(0.0027960027725822236, Moro Airport, Papua New Guinea)
(0.0027767466603357788, Perth Intl, Australia)
(0.002723908027584588, Eldorado Intl, Colombia)
(0.002710536858134762, Lester B Pearson Intl, Canada)
(0.0026647963334435485, Ataturk, Turkey)
(0.0025468782869221477, Soekarno Hatta Intl, Indonesia)
(0.002494280405532239, Licenciado Benito Juarez Intl, Mexico)
(0.002489433069950927, Baiyun Intl, China)
(0.0024700308908888638, Girua Airport, Papua New Guinea)
(0.0024672772195489913, Indira Gandhi Intl, India)
(0.0024401258210331547, San Francisco Intl, United States)
(0.002382762846750604, Taoyuan Intl, Taiwan)
(0.0023375780873724273, Kiunga Airport, Papua New Guinea)
(0.002331410807791909, Aeroparque Jorge Newbery, Argentina)
(0.0023222093768327447, Johannesburg Intl, South Africa)
(0.002289007480292671, Barcelona, Spain)
(0.002286272393919883, Minneapolis St Paul Intl, United States)
(0.0022811167661669425, Tabubil Airport, Papua New Guinea)
(0.0022811167661669425, Tari Airport, Papua New Guinea)
(0.002265034786559019, Tokyo Intl, Japan)
(0.002247664030202832, George Bush Intercontinental, United States)
(0.002235478289001002, Seattle Tacoma Intl, United States)
(0.002233888624697473, Miami Intl, United States)
(0.0021952653550489595, Vancouver Intl, Canada)
(0.0021836542720595244, Londolovit Airport, Papua New Guinea)
(0.0021688135487313675, Charlotte Douglas Intl, United States)
