Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.3422795399094678
SUM:1.2739748426741704
SUM:1.2188131298052944
SUM:1.1746257526154884
SUM:1.1392686673008923
SUM:1.1109803625781207
SUM:1.088336921124503
SUM:1.0702154961804133
SUM:1.0557122343162375
SUM:1.0441048873343637
SUM:1.0348155806785642
SUM:1.0273814374345385
SUM:1.0214321232482608
SUM:1.016671181389022
SUM:1.0128613103391007
SUM:1.0098125866283505
SUM:1.0073729957556015
SUM:1.0054208697087716
SUM:1.0038588358868599
SUM:1.0026089637790083
SUM:1.0016088868042217
SUM:1.0008086943956456
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.005157285266480899, Denver Intl, United States)
(0.0050469348445184945, Chicago Ohare Intl, United States)
(0.0050110262797095455, Los Angeles Intl, United States)
(0.003928868890050463, Hartsfield Jackson Atlanta Intl, United States)
(0.0038702941445480626, Sydney Intl, Australia)
(0.003815403144053046, Changi Intl, Singapore)
(0.003764679571584657, Heathrow, United Kingdom)
(0.003760688010547795, Capital Intl, China)
(0.0036635741477223202, Charles De Gaulle, France)
(0.003608055980614924, Dallas Fort Worth Intl, United States)
(0.0035689635229911474, Frankfurt Main, Germany)
(0.003546841677137463, Domododevo, Russia)
(0.0033350840573213286, John F Kennedy Intl, United States)
(0.0033091125843523602, Schiphol, Netherlands)
(0.0031475265856153005, Lester B Pearson Intl, Canada)
(0.0031286713652380607, Dubai Intl, United Arab Emirates)
(0.003113937867551886, Incheon Intl, South Korea)
(0.00299725740349694, Ataturk, Turkey)
(0.002980352923060453, Eldorado Intl, Colombia)
(0.0029292845180351585, Pudong, China)
(0.0028303998009511252, Barcelona, Spain)
(0.002804383133759081, Brisbane Intl, Australia)
(0.0027829591855513835, Licenciado Benito Juarez Intl, Mexico)
(0.0027723935706287293, Hong Kong Intl, Hong Kong)
(0.0027061064446044776, Suvarnabhumi Intl, Thailand)
(0.0026410728055187606, Ninoy Aquino Intl, Philippines)
(0.0026324079006368383, Miami Intl, United States)
(0.002579057960026794, Minneapolis St Paul Intl, United States)
(0.002573732931384692, Indira Gandhi Intl, India)
(0.0025677627295955024, George Bush Intercontinental, United States)
(0.0025423915237898723, Kuala Lumpur Intl, Malaysia)
(0.0025313951822050953, Charlotte Douglas Intl, United States)
(0.0025214691953872968, Aeroparque Jorge Newbery, Argentina)
(0.0025205045389349225, San Francisco Intl, United States)
(0.0025172666770800216, Fiumicino, Italy)
(0.0024848665134776806, Seattle Tacoma Intl, United States)
(0.0024601859274502513, Gatwick, United Kingdom)
(0.0024539189566600067, Pulkovo, Russia)
(0.0024169288262766353, Barajas, Spain)
(0.0024085017021784876, Franz Josef Strauss, Germany)
(0.0023847747127032346, Narita Intl, Japan)
(0.002370641157023131, Johannesburg Intl, South Africa)
(0.0023109116996725813, Schwechat, Austria)
(0.0022622342562769425, Baiyun Intl, China)
(0.002244511457466073, Mc Carran Intl, United States)
(0.00223683027852776, Vancouver Intl, Canada)
(0.002233789163893622, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.002206322902968419, Chhatrapati Shivaji Intl, India)
(0.0021620674737146874, Soekarno Hatta Intl, Indonesia)
(0.0021360941148426274, Tokyo Intl, Japan)
(0.0021350541957757714, Melbourne Intl, Australia)
(0.0021327090263299226, Auckland Intl, New Zealand)
(0.0021012490229579133, Ted Stevens Anchorage Intl, United States)
(0.0020760760276355233, Son Sant Joan, Spain)
(0.0020722314043356564, Detroit Metro Wayne Co, United States)
(0.0020623886292662924, Manchester, United Kingdom)
(0.002062078490651397, Newark Liberty Intl, United States)
(0.0020590641792673846, Brussels Natl, Belgium)
(0.002048852044105672, Wujiaba, China)
(0.0020380852820551265, Shuangliu, China)
(0.0020126538784527364, Washington Dulles Intl, United States)
(0.002000094890051915, Dusseldorf, Germany)
(0.0019575708749626354, Jorge Chavez Intl, Peru)
(0.0019515026606158952, Philadelphia Intl, United States)
