Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0756128732425372
SUM:1.0606415093408381
SUM:1.048146463138633
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.012975346884749933, Reykjavik, Iceland)
(0.010785285800891877, Yellowknife, Canada)
(0.00940764061184396, Port Moresby Jacksons Intl, Papua New Guinea)
(0.006926559796543272, Vancouver Intl, Canada)
(0.006649142876170384, Rankin Inlet, Canada)
(0.006572125226982979, Lester B Pearson Intl, Canada)
(0.006202672459589581, Pierre Elliott Trudeau Intl, Canada)
(0.00594570215102783, Iqaluit, Canada)
(0.00547885146134632, Qaanaaq Airport, Greenland)
(0.0052289608745694485, Chicago Ohare Intl, United States)
(0.004959031489624601, Wabush, Canada)
(0.004840909290265186, Edmonton Intl, Canada)
(0.004758311601736043, Nuuk, Greenland)
(0.004570694335465519, Denver Intl, United States)
(0.004566868977762869, Quebec Jean Lesage Intl, Canada)
(0.004252972415798841, Calgary Intl, Canada)
(0.0042524045964553595, Ilulissat, Greenland)
(0.004172625164380768, Winnipeg Intl, Canada)
(0.004111384004806421, Los Angeles Intl, United States)
(0.00404875831917086, Thunder Bay, Canada)
(0.0037981323564120237, Cambridge Bay, Canada)
(0.0036994256662848295, Heathrow, United Kingdom)
(0.003574328452175715, Inuvik Mike Zubko, Canada)
(0.003185011231160939, Sept Iles, Canada)
(0.0031482285833517617, Ottawa Macdonald Cartier Intl, Canada)
(0.0030671632706079804, Taloyoak, Canada)
(0.0030445466746590088, Clyde River, Canada)
(0.003038446286443101, Mount Hagen, Papua New Guinea)
(0.003020197136100757, Hartsfield Jackson Atlanta Intl, United States)
(0.0029968471672387753, Sydney Intl, Australia)
(0.002975836855764811, Wewak Intl, Papua New Guinea)
(0.0029631558693347863, Goose Bay, Canada)
(0.0029333691117118, Kugluktuk, Canada)
(0.002926680020724518, Dallas Fort Worth Intl, United States)
(0.0029026424389800905, Kastrup, Denmark)
(0.0028338460335990312, John F Kennedy Intl, United States)
(0.002819553815788717, Chesterfield Inlet Airport, Canada)
(0.002817957404924385, Norman Wells, Canada)
