Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0756128732425372
SUM:1.0606415093408381
SUM:1.048146463138633
SUM:1.0380899869180584
SUM:1.0300421257707086
SUM:1.02360028297939
SUM:1.0184342480301791
SUM:1.0142945644719912
SUM:1.0109765590793909
SUM:1.0083173083708492
SUM:1.006186355213487
SUM:1.0044787995208742
SUM:1.003110658053983
SUM:1.0020145726370868
SUM:1.0011365098103195
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.00520882800518284, Denver Intl, United States)
(0.0051012615551451245, Chicago Ohare Intl, United States)
(0.0050259180075677085, Los Angeles Intl, United States)
(0.003952953779285155, Hartsfield Jackson Atlanta Intl, United States)
(0.0037908588786279384, Sydney Intl, Australia)
(0.0037710638251070793, Heathrow, United Kingdom)
(0.003721870107958711, Changi Intl, Singapore)
(0.003671329767946728, Capital Intl, China)
(0.0036516762122858165, Charles De Gaulle, France)
(0.0036281163095171864, Dallas Fort Worth Intl, United States)
(0.0035559547273894417, Frankfurt Main, Germany)
(0.0035204715654437997, Domododevo, Russia)
(0.003345576199102997, John F Kennedy Intl, United States)
(0.0032957162277313704, Schiphol, Netherlands)
(0.003205229859360488, Lester B Pearson Intl, Canada)
(0.003085095287640882, Dubai Intl, United Arab Emirates)
(0.0030508313947917513, Incheon Intl, South Korea)
(0.00297862836169547, Eldorado Intl, Colombia)
(0.002973200339972427, Ataturk, Turkey)
(0.0028558258099428808, Pudong, China)
(0.0028227893041662933, Barcelona, Spain)
(0.0027931326723155533, Licenciado Benito Juarez Intl, Mexico)
(0.002737515544005683, Brisbane Intl, Australia)
(0.0027028965977064206, Hong Kong Intl, Hong Kong)
(0.0026517624074342667, Suvarnabhumi Intl, Thailand)
(0.0026378798706195718, Miami Intl, United States)
(0.0026033866480383093, Minneapolis St Paul Intl, United States)
(0.0025915636105148035, Ninoy Aquino Intl, Philippines)
(0.0025856029908248057, George Bush Intercontinental, United States)
(0.0025505420761899275, Charlotte Douglas Intl, United States)
(0.0025346351638989295, Indira Gandhi Intl, India)
(0.002532433501928506, San Francisco Intl, United States)
(0.0025071448058946086, Aeroparque Jorge Newbery, Argentina)
(0.002505597380310104, Fiumicino, Italy)
(0.0024947391473028884, Seattle Tacoma Intl, United States)
(0.0024854519437716763, Kuala Lumpur Intl, Malaysia)
(0.002460127175997229, Gatwick, United Kingdom)
(0.0024354259685012377, Pulkovo, Russia)
(0.0024098475169350565, Barajas, Spain)
(0.0023951786966965516, Franz Josef Strauss, Germany)
(0.0023518661603216195, Johannesburg Intl, South Africa)
(0.002345989757760824, Narita Intl, Japan)
(0.0022979849742837608, Schwechat, Austria)
(0.002274113749941949, Vancouver Intl, Canada)
(0.002271326854821883, Mc Carran Intl, United States)
(0.0022146593426107227, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0021956516865275924, Baiyun Intl, China)
(0.0021731660744968204, Chhatrapati Shivaji Intl, India)
(0.00211331150013846, Soekarno Hatta Intl, Indonesia)
(0.0021111502098510476, Tokyo Intl, Japan)
(0.002092621018788287, Auckland Intl, New Zealand)
(0.0020910449854560135, Detroit Metro Wayne Co, United States)
(0.0020897478817674267, Ted Stevens Anchorage Intl, United States)
(0.0020832926490904945, Melbourne Intl, Australia)
(0.002080722957024205, Newark Liberty Intl, United States)
(0.0020662416600975985, Son Sant Joan, Spain)
(0.0020561060241742726, Manchester, United Kingdom)
(0.0020500762358160924, Brussels Natl, Belgium)
(0.002023500955491769, Washington Dulles Intl, United States)
(0.001991580193640366, Dusseldorf, Germany)
(0.0019869891252900737, Wujiaba, China)
(0.0019737043900539784, Shuangliu, China)
(0.0019692025412511357, Philadelphia Intl, United States)
(0.0019688789495249524, Pierre Elliott Trudeau Intl, Canada)
(0.0019671270139003335, Orlando Intl, United States)
(0.0019537026852990283, Kastrup, Denmark)
(0.0019514529307983525, Jorge Chavez Intl, Peru)
(0.0019505082851019766, Phoenix Sky Harbor Intl, United States)
(0.0019322392240922323, General Edward Lawrence Logan Intl, United States)
(0.0019097135325018657, Abu Dhabi Intl, United Arab Emirates)
(0.0018850191881983945, Gardermoen, Norway)
(0.0018730518507149086, Taoyuan Intl, Taiwan)
(0.0018687138952894504, Sheremetyevo, Russia)
(0.0018361821066556457, Bethel, United States)
(0.00183313471919363, Orly, France)
(0.0018324447743031656, Zurich, Switzerland)
(0.0018303447616499946, Fort Lauderdale Hollywood Intl, United States)
(0.0018296975593449947, Arlanda, Sweden)
(0.0017468560681408913, Helsinki Vantaa, Finland)
(0.0017013710561760002, King Abdulaziz Intl, Saudi Arabia)
(0.0016938156808537252, Port Moresby Jacksons Intl, Papua New Guinea)
(0.0016846239653996369, Xianyang, China)
(0.00164172852908778, Mehrabad Intl, Iran)
(0.0016402997005572945, Presidente Juscelino Kubitschek, Brazil)
(0.0016229728846471156, Jomo Kenyatta International, Kenya)
(0.0015624913302480091, Eleftherios Venizelos Intl, Greece)
(0.0015612893270207661, Lisboa, Portugal)
(0.0015559868827435346, Faa\\'a International, French Polynesia)
(0.001546187719552987, Malpensa, Italy)
(0.0015282121262217927, Bole Intl, Ethiopia)
(0.001511709849670981, Honolulu Intl, United States)
(0.00150384636671147, King Khaled Intl, Saudi Arabia)
(0.0015015677912330375, Salt Lake City Intl, United States)
(0.001495974393891051, Perth Intl, Australia)
(0.0014930162416566537, Jiangbei, China)
(0.0014772655721557956, Cairo Intl, Egypt)
(0.0014462688688250266, Honiara International, Solomon Islands)
(0.0014067342008840017, Dublin, Ireland)
(0.001396791932973076, Calgary Intl, Canada)
(0.0013869243944900046, Xiaoshan, China)
(0.0013820139699610473, Diwopu, China)
(0.0013810496859818532, Fairbanks Intl, United States)
(0.0013683961995791295, Baoan Intl, China)
(0.0013599065801439265, Tegel, Germany)
(0.0013390813956749615, Cancun Intl, Mexico)
(0.001336100134131103, Arturo Merino Benitez Intl, Chile)
(0.0013319036267635924, Doha Intl, Qatar)
